date,open,high,low,close,volume
2012-02-28,111.9085,112.3326,111.6883,112.2021,129355900
2012-02-29,112.3653,112.7160,111.3702,111.7617,185934700
2012-03-01,111.9982,112.5529,111.6883,112.3408,145023500
2012-03-02,112.2674,112.4142,111.7454,111.9982,120638300
2012-03-05,111.8269,111.9085,111.1581,111.5415,140765000
2012-03-06,110.3995,110.4648,109.5920,109.9101,202129900
2012-03-07,110.1630,110.8563,110.0569,110.6769,143692200
2012-03-08,111.3539,112.0064,111.1255,111.7780,116968900
2012-03-09,111.9901,112.5039,111.8514,112.2103,122836800
2012-03-12,112.1940,112.3653,111.8188,112.2185,104003500
2012-03-13,112.8220,114.2984,112.6344,114.2413,184090500
2012-03-14,114.2739,114.5594,113.7682,114.1189,145163600
2012-03-15,114.2902,114.8286,113.9966,114.7796,165118500
2012-03-16,114.9870,115.0853,114.6921,114.9379,152893500
2012-03-19,114.8641,115.7407,114.7822,115.3884,125291100
2012-03-20,114.7331,115.1918,114.3972,115.0526,121729700
2012-03-21,115.1181,115.2246,114.6265,114.8641,122388400
2012-03-22,114.0203,114.3234,113.6599,114.0367,135216700
2012-03-23,114.1350,114.5364,113.5042,114.4054,120521000
2012-03-26,115.2246,116.0110,115.1836,116.0110,120164000
2012-03-27,116.1176,116.1913,115.5769,115.6506,119868500
2012-03-28,115.5932,115.7735,114.3972,115.0771,148562100
2012-03-29,114.3972,115.0935,113.9466,114.8805,164963700
2012-03-30,115.4458,115.5523,114.7331,115.3557,135486800
2012-04-02,115.2164,116.5026,114.9870,116.1995,151741100
2012-04-03,116.0356,116.2322,115.0444,115.7243,155806700
2012-04-04,114.8723,114.9706,114.1514,114.5774,146896000
2012-04-05,114.1842,114.8559,114.0859,114.5200,137439400
2012-04-09,113.0782,114.5610,112.9226,113.2339,127555900
2012-04-10,113.0127,113.3322,111.2186,111.3332,235360300
2012-04-11,112.4720,112.6768,112.0296,112.2344,154133000
2012-04-12,112.3409,113.7909,112.2590,113.7008,154321500
2012-04-13,113.4387,113.7254,112.2426,112.3491,169246700
2012-04-16,112.9226,113.0864,111.8903,112.2754,147825300
2012-04-17,112.9226,114.1678,112.8079,113.9384,147877600
2012-04-18,113.4305,113.9384,113.3649,113.5534,123884200
2012-04-19,113.5698,113.9957,112.2918,112.8242,198666700
2012-04-20,113.3240,113.7336,112.9471,113.0127,143199600
2012-04-23,111.8576,112.1607,111.3660,112.0624,171844900
2012-04-24,112.1607,112.7751,112.0706,112.4884,137484200
2012-04-25,113.5861,114.0777,113.4878,114.0285,150252200
2012-04-26,113.7827,114.9542,113.7172,114.8232,136291600
2012-04-27,115.1672,115.3393,114.5282,115.0116,130725000
2012-04-30,114.7822,114.8641,114.2743,114.5856,115092200
2012-05-01,114.5200,116.0520,114.3890,115.2983,138832200
2012-05-02,114.6265,115.0689,114.2497,114.9542,121081000
2012-05-03,114.9706,115.0607,113.8647,114.0777,143759700
2012-05-04,113.4796,114.1186,112.1689,112.2344,193927300
2012-05-07,111.8330,112.6932,111.7920,112.3163,127765900
2012-05-08,111.6446,112.0460,110.5304,111.8658,213377700
2012-05-09,110.6779,111.9149,110.1781,111.2022,220752500
2012-05-10,111.9722,112.1115,111.1776,111.4316,150600000
2012-05-11,110.7352,112.1279,110.6861,111.0957,153032400
2012-05-14,110.0307,111.0957,109.7030,109.8668,163910000
2012-05-15,109.7931,110.4403,109.0640,109.2360,207629300
2012-05-16,109.7276,110.2273,108.7936,108.8182,207265500
2012-05-17,108.8428,108.9739,107.1470,107.2043,247992900
2012-05-18,107.6221,107.8106,106.1311,106.2868,319615900
2012-05-21,106.6309,108.1546,106.4588,108.1137,177861100
2012-05-22,108.3922,109.1459,107.5976,108.3021,197531200
2012-05-23,107.5238,108.5151,106.4916,108.3595,204958400
2012-05-24,108.6544,108.8264,107.6631,108.5724,167357600
2012-05-25,108.5315,108.8346,107.9580,108.2202,135465600
2012-05-29,109.0886,109.7194,107.4583,109.5309,152883500
2012-05-30,108.5970,109.5228,107.7205,107.9416,162370400
2012-05-31,107.9007,108.5069,106.7783,107.7041,196186000
2012-06-01,106.0165,107.7286,104.9924,104.9924,253240900
2012-06-04,105.1808,105.4676,104.1568,104.9433,202545800
2012-06-05,104.7385,105.8936,104.6811,105.7379,164149400
2012-06-06,106.4752,108.1628,106.4424,108.1137,184202800
2012-06-07,109.3425,109.3917,107.9580,108.1792,184772700
2012-06-08,107.9007,109.0640,107.5566,109.0394,143915400
2012-06-11,109.9160,109.9815,107.5484,107.6549,169756100
2012-06-12,107.9662,108.9657,107.4501,108.8919,181931800
2012-06-13,108.5724,109.2524,107.8269,108.1956,172223900
2012-06-14,108.4168,109.7767,108.1219,109.3425,230615500
2012-06-15,109.8292,110.5538,109.5987,110.4550,169444500
2012-06-18,109.9939,110.9409,109.7469,110.6691,131360900
2012-06-19,111.2291,112.1925,110.6444,111.7396,137382600
2012-06-20,111.7478,112.0690,110.5621,111.5584,206451800
2012-06-21,111.6902,111.8055,108.9646,109.0552,205272200
2012-06-22,109.6234,110.1010,109.2034,109.8951,130029200
2012-06-25,108.7341,108.7752,107.7460,108.1330,146375700
2012-06-26,108.4459,109.0058,107.8118,108.6764,141634000
